,ID,NAME
314,4561484,Cosy 1 bedroom apartment (Aljunied MRT)
315,4569941,Clean private room in Choa Chu Kang
316,4576362,Cozy Apt home away from home
317,4583589,Nice and Cosy 3BR Penthouse Condo
318,4584539,Master bed room for 3
319,4586160,Cosy apartment with amazing seaview
320,4600559,High Floor Double Room - Dover Area
321,4608708,Charming & design apt near Orchard
322,4613432,Nicely furnished apt close to City
323,4616523,Cozy apartment near the city
324,4616537,Comfortable apt home away from home
325,4628393,Home in the City
326,4640273,索美赛River Valley
327,4645834,Hotel concept rooms in apartment 
328,4656221,Cosy Apartment @ Geylang
329,4656316,EverGreen Residences 
330,4664392,"Prime CBD Club Street, Heritage S3"
331,4683314,3BR (For 5)Apt Orchard/Stevens/UNESCO *MRT* Sup
332,4702699,Charming 2BR unit with Full Privacy
333,4712676,HOMESTAY- Deluxe Room with SEALY King Bed + B'fast
334,4721463,Colonial Black and White with Pool
335,4722005,Walking Distance to MRT
336,4754788,A full-furnished and equipped home!
337,4761064,Spectacular Views of City Fireworks
338,4768668,Comfy Room w Greenery View Hospitable Private Cond
339,4771752,Everything You Need in SG - Room 2
340,4787666,New Condo at Lakeside MRT - 1 Pax
341,4788392,Lakeholmz Condo Near Lakeside MRT
342,4802295,2br Orchard Rd view Next to MRT
343,4817784,Master Bedroom  with Serene Greenery
344,4818187,"""B""-Private Bathroom Cosy Bedroom"
345,4818191,"""A""-Private Bathroom Spacious Bedrm"
346,4828432,2br Luxury Orchard Rd Beside MRT
347,4841308,Straits Settlement Theme - 1 BR Apt
348,4863317,highrise heritage queenbed RmA1
349,4869221,Fireworks view* hiriseEnsuite8 + PrivateLivingRm
350,4899063,Singapore Student Homestay
351,4916186,Convenient apt home away from home
352,4926023,Private Room: Modern luxury condo
353,4926170,Room 4B in Terrace House @ Thomson Village
354,4926192,Common Room @ Boon Keng
355,4926634,Master Room With Balcony for 3
356,4933616,Short Stay accommodation for Ladies
357,4934283,1/2Suite@payalebar/aircon/near Serangoon MRT/cheap
358,4969304,"SGCT26-3: Up Chinatown MRT,WIFI,Aircon"
359,4969777,New!!! Cozy 1 Bedroom Apt in the City
360,4973227,Boat Quay Studio Apartment
361,4978175,Cat Lovers: Quaint Vintage House 
362,4979889,Studio Apartment near UNESCO Site/Orchard #38
363,4990392,Cosy Apartment for Rent
364,4990462,Evergreen Residences @ Geylang
365,4996744,Comfortable and Centrally Located 
366,5006143,Fabulous & Cosy Apt. in the City.
367,5018128,Ideal Home
368,5018606,Modern Master Room (private bath) 
369,5024661,2 Bedroom unit near the City
370,5034562,Central 65 Hostel & Cafe
371,5036145,Cozy Room in the Heart
372,5040689,Exquisite & cosy room for rental
373,5042231,Spacious 1 bedroom with patio in city(Sophia Road)
374,5050823,Private room in apartment
375,5052014,Modern Serviced Studio in CBD w MRT
376,5079606,"I am Roger,welcome to my apartment"
377,5082033,Private room in Central Singapore
378,5095636,❀❀❀3BR near town and shopping mall
379,5101196,"Central Location,3 Mins Walk to MRT"
380,5111893,Cosy Room with Workstation & WiFi
381,5116961,ROOM in magazine-featured apt
382,5117966,Cosy Apartment 4
383,5118006,Evergreen Residences 2
384,5118306,Condo on prime real estate
385,5128182,Fantastic entire 1BR in toplocation
386,5129422,Master Rm A3 nr MRT/CBP/CGH/SUTD/Boeing & SIA
387,5177256,Little Habitat 2- Love Local.
388,5184871,Little Habitat 1-  Love local.
389,5185612,Upscale Studio @ Emerald Hill 5
390,5186159,Master Room B1 nr MRT/CBP/CGH/SUTD/Airport/SIA
391,5186205,Master Room B2 nr MRT/CBP/CGH/SUTD/Airport/SIA
392,5186243,Master Room B3 nr MRT/CBP/CGH/SUTD/Airport/SIA
393,5195270,✪1BR @ Town walking distance to Bugis
394,5214091,Spacious 1 Bedroom Apt
